ID_Club (FK),Nombre_Club,Nombre_Coloquial,Títulos_Primera,Títulos_Internacionales,Afiliación_AFA,Socios,Cuota_Social,Ingresos_Socios,Entradas_Vendidas,Valor_Entradas_Promedio,Ingresos_Entradas,Ingresos_TV,Ingresos_Comerciales,Ingresos_Totales,Sueldo_DT,Sueldos_Plantel,Egresos_Generales,Egresos_Totales,Balance_Anual
20,Club Sportivo Barracas,Sportivo Barracas,2,,Si,1000,3500,3500000,5292,600,3175200,10000000,86007610,102682810,716231,79831623,11110303,91658157,11024653
21,Club Social y Deportivo Yupanqui,Yupanqui,,,Si,1100,3500,3850000,3809,600,2285400,10000000,88084523,104219923,742200,77365903,11046519,89154622,15065301
22,Club Agropecuario Argentino,Agropecuario,,,No,50,5000,250000,26024,1200,31228800,150000000,260438334,441917134,2892386,342575755,140434238,485902379,-43985245
23,Club Atletico Aldosivi,Aldosivi,,,No,2600,6000,15600000,52416,1500,78624000,250000000,318989256,663213256,4020803,492267944,295559664,791848411,-128635155
24,Club Atletico Alvarado,Alvarado,,,No,2000,5000,10000000,31567,1200,37880400,150000000,252477379,450357779,2817405,332577558,114004795,449399758,958021
25,Club Atletico y Social Defensores de Belgrano (Villa Ramallo),Defensores de Belgrano (VR),,,No,1800,4500,8100000,11230,1000,11230000,50000000,218646805,287976805,1745372,257587630,28481796,287814798,162007
26,Club Atletico Social y Deportivo Camioneros,Camioneros,,,No,890,4500,4005000,21254,1000,21254000,50000000,222971312,298230312,1573461,266403025,16006265,283982751,14247561
27,Club Atletico Douglas Haig,Douglas Haig,,,No,2010,4500,9045000,16289,1000,16289000,50000000,215779373,291113373,1828429,274742020,18531983,295102432,-3989059
28,Club y Biblioteca Ramon Santamarina,Santamarina,,,No,2400,5000,12000000,34082,1200,40898400,150000000,273382581,476280981,2649276,329158752,148683657,480491685,-4210704
29,Club Atletico Acassuso,Acassuso,,,Si,3000,4500,13500000,11783,1000,11783000,50000000,212819072,288102072,1776775,271206584,21783845,294767204,-6665132
30,Club Almagro,Almagro,,,Si,6110,5000,30550000,24672,1200,29606400,150000000,259718446,469874846,2657428,337405576,144653365,484716369,-14841523
31,Club Almirante Brown,Almirante Brown,,,Si,7000,5000,35000000,22871,1200,27445200,150000000,261044062,473489262,2527442,338428954,137426509,478382905,-4893643
32,Club Atletico Argentino (Merlo),Argentino (M),,,Si,4000,4000,16000000,8901,800,7120800,25000000,139760125,187880925,1242645,168988600,8669367,178900612,8980313
33,Arsenal Futbol Club,Arsenal,3,2,Si,2926,6000,17556000,45137,1500,67705500,250000000,314166363,649427863,4945776,463160898,337260345,805367019,-155939156
34,Club Atletico Banfield,Banfield,2,,Si,26000,6000,156000000,50678,1500,76017000,250000000,316591650,798608650,4853244,471355717,300500586,776709547,21899103
35,Club Atletico Brown (Adrogue),Brown (A),,,Si,2000,5000,10000000,24983,1200,29979600,150000000,253461240,443440840,2963477,347182992,149950828,500097297,-56656457
36,Club Atletico Chacarita Juniors,Chacarita Juniors,1,,Si,3500,5000,17500000,22164,1200,26596800,150000000,258789502,452886302,2786867,330864260,137687746,471338873,-18452571
37,Club Atletico Ferrocarril Midland,Midland,,,Si,3000,4000,12000000,7775,800,6220000,25000000,140231602,183451602,1154024,159326631,10943021,171423676,12027926
38,Club Atletico Colegiales,Colegiales,,,Si,3400,4500,15300000,15435,1000,15435000,50000000,210439931,291174931,1543587,261700656,27256153,290500396,674535
39,Club Social y Deportivo Defensa y Justicia,Defensa y Justicia,,2,Si,7400,6000,44400000,56472,1500,84708000,250000000,312098231,691206231,3824241,451029321,153232819,608086381,83119850
40,Club Deportivo Moron,Deportivo Moron,,,Si,18800,5000,94000000,21339,1200,25606800,150000000,256010951,525617751,2766155,328529769,115494682,446790606,78827145
41,Club Atletico Estudiantes (Caseros),Estudiantes (C),1,,Si,1500,5000,7500000,33460,1200,40152000,150000000,256052459,453704459,2691663,343632446,113243562,459567671,-5863212
42,Club Atletico Fenix,Fenix,,,Si,1600,4500,7200000,10610,1000,10610000,50000000,211810412,279620412,1623200,274978721,24718037,301319958,-21699546
43,Club Atletico Independiente,Independiente,25,20,Si,83428,6000,500568000,58239,1500,87358500,350000000,302293851,1240220351,3824121,498232112,842390214,1344446447,-104226096
44,Asociacion Social y Deportiva Justo José de Urquiza,Urquiza,,,Si,1200,4500,5400000,23121,1000,23121000,50000000,212627483,291148483,1834852,254584114,25549283,281968249,9180234
45,Club Atletico Lanus,Lanus,4,2,Si,28083,6000,168498000,59473,1500,89209500,250000000,317979351,825686851,4618754,498656038,323850259,827125051,-1438200
46,Club Atletico Los Andes,Los Andes,,,Si,1850,4500,8325000,17309,1000,17309000,50000000,213644177,289278177,1861434,255804990,22507264,280173688,9104489
47,Club Atletico Platense,Platense,,,Si,6500,6000,39000000,58826,1500,88239000,250000000,310468779,687707779,4276868,484299062,346820412,835396342,-147688563
48,Quilmes Atletico Club,Quilmes,3,,Si,5000,5000,25000000,33032,1200,39638400,150000000,264315048,478953448,2805631,340738436,129542526,473086593,5866855
49,Racing Club,Racing,31,5,Si,70006,6000,420036000,45295,1500,67942500,350000000,306024123,1144002623,3630798,488669627,266387546,758687971,385314652
50,Club Atletico San Miguel,San Miguel,,,Si,800,4500,3600000,12850,1500,19275000,50000000,202007322,274882322,1626870,250934434,24386238,276947542,-2065220
51,Club Atletico San Telmo,San Telmo,,,Si,1200,5000,6000000,30676,1200,36811200,150000000,251497552,444308752,1626465,344216611,120124353,465967429,-21658677
52,Club Atletico Talleres (Remedios de Escalada)‎,Talleres (RE)‎,,,Si,1000,4500,4500000,16570,1000,16570000,50000000,219405563,290475563,1802414,265914977,23891666,291609057,-1133494
53,Club Atletico Temperley‎,Temperley‎,,,Si,10000,5000,50000000,39624,1200,47548800,150000000,251726914,499275714,2736523,326318382,146587492,475642397,23633317
54,Club Atletico Tigre‎,Tigre‎,1,,Si,10000,5000,50000000,24879,1200,29854800,150000000,267562214,497417014,2647301,340673469,115456716,458777486,38639528
55,Club Social y Deportivo Tristan Suarez‎,Tristan Suarez‎,,,Si,2000,5000,10000000,25997,1200,31196400,150000000,257314943,448511343,2567134,326835647,124978621,454381402,-5870059
56,‎Club Deportivo UAI Urquiza,UAI Urquiza,,,Si,400,4500,1800000,17905,1000,17905000,50000000,219268346,288973346,1717938,265193916,20023078,286934932,2038414
57,Club Atletico Argentino de Quilmes,Argentino (Q),,,Si,800,4500,3600000,20771,1000,20771000,50000000,220998121,295369121,1914401,273051358,15402357,290368116,5001005
58,Club Deportivo Armenio,Deportivo Armenio,,,Si,500,4500,2250000,20863,1000,20863000,50000000,221608683,294721683,1809540,267000546,18753979,287564065,7157618
59,Asociacion Deportiva Berazategui,Berazategui,,,Si,1600,4500,7200000,19862,1000,19862000,50000000,215364837,292426837,1629151,260140427,17582516,279352094,13074743
60,Club Social y Deportivo Central Ballester,Central Ballester,,,Si,2000,3500,7000000,4539,600,2723400,10000000,77381595,97104995,731493,84961688,8829781,94522962,2582033
61,Centro Social y Recreativo Español,Centro Español,,,Si,200,3500,700000,4882,600,2929200,10000000,81552920,95182120,678387,94329823,8658587,103666797,-8484677
62,Club Atlético Claypole,Claypole,,,Si,1800,4000,7200000,5285,800,4228000,25000000,134779893,171207893,1134792,158224565,10062216,169421573,1786320
63,Club Sportivo Dock Sud,Dock Sud,1,,Si,500,4000,2000000,9360,800,7488000,25000000,144845528,179333528,1136490,151150138,9832919,162119547,17213981
64,Club El Porvenir,El Porvenir,,,Si,1000,4000,4000000,10938,800,8750400,25000000,133799100,171549500,1228107,158359163,11841650,171428920,120580
65,Club Atletico Ituzaingo,Ituzaingo,,,Si,1900,4000,7600000,7430,800,5944000,25000000,132682672,171226672,1078564,154550917,10079038,165708519,5518153
66,Club Deportivo y Social Juventud Unida,Juventud Unida,,,Si,850,3500,2975000,5647,600,3388200,10000000,77519507,93882707,632132,87361687,8548158,96541977,-2659270
67,Club Social y Cultural Deportivo Laferrere,Laferrere,,,Si,1800,4000,7200000,7721,800,6176800,25000000,127917252,166294052,1227770,164106203,9577733,174911706,-8617654
68,Club Social y Deportivo Liniers,Liniers,,,Si,2500,3500,8750000,4842,600,2905200,10000000,96152226,117807426,696110,99639263,11075368,111410741,6396685
69,Club Atletico Lugano,Lugano,,,Si,2000,3500,7000000,2129,600,1277400,10000000,83516272,101793672,642130,86723223,10628925,97994278,3799394
70,Club Social y Deportivo Merlo,Deportivo Merlo,,,Si,2000,4500,9000000,19966,1000,19966000,50000000,210154104,289120104,1503626,257392145,19232708,278128479,10991625
71,Club Social Cultural y Deportivo Muñiz,Muñiz,,,Si,1700,3500,5950000,2057,600,1234200,10000000,81330478,98514678,635872,93232667,10927431,104795970,-6281292
72,Club Social y Deportivo San Martin (Burzaco),San Martin (B),,,Si,1000,4000,4000000,9804,800,7843200,25000000,143077966,179921166,1150884,153560422,8037320,162748626,17172540
73,Club Sportivo Italiano,Sportivo Italiano,,,Si,1110,4000,4440000,5141,800,4112800,25000000,142850031,176402831,1019934,157180688,9384550,167585172,8817659
74,Club Atletico Victoriano Arenas,Victoriano Arenas,,,Si,200,4000,800000,11354,800,9083200,25000000,130470724,165353924,1219982,165207227,10275260,176702469,-11348545
75,Club Atletico Defensores Unidos,Defensores Unidos,,,Si,2000,4500,9000000,14275,1000,14275000,50000000,216080862,289355862,1865618,250324195,26851935,279041748,10314114
76,Club Estudiantes de La Plata,Estudiantes (LP),8,6,Si,40778,6000,244668000,56828,1500,85242000,250000000,322199399,902109399,4332244,492811684,320289143,817433071,84676328
77,Club Social y Deportivo Flandria,Flandria,,,Si,900,4500,4050000,10883,1000,10883000,50000000,203013894,267946894,1757490,256708420,16885505,275351415,-7404521
78,Club Gimnasia y Esgrima La Plata,Gimnasia (LP),2,,Si,27444,6000,164664000,43970,1500,65955000,250000000,311638710,792257710,4185729,495421863,329511029,829118621,-36860911
79,Club Atletico Sarmiento (Junin),Sarmiento (J),,,Si,500,6000,3000000,42484,1500,63726000,250000000,313658427,630384427,3605684,456656462,348676176,808938322,-178553895
80,Club Villa Dalmine,Villa Dalmine,,,Si,1100,5000,5500000,24076,1200,28891200,150000000,251228461,435619661,2790796,330999393,114939392,448729581,-13109920
81,Club Atletico Atlas,Atlas,,,Si,1200,4000,4800000,11292,800,9033600,25000000,127364197,166197797,1119611,170464864,8254731,179839206,-13641409
82,Club Atletico Villa San Carlos,Villa San Carlos,,,Si,1010,4500,4545000,18354,1000,18354000,50000000,221522414,294421414,1959695,271124395,28811152,301895242,-7473828
83,Club Defensores de Cambaceres,Cambaceres,,,Si,1020,3500,3570000,5755,600,3453000,10000000,78402858,95425858,667510,98257109,8643435,107568054,-12142196
84,Cañuelas Futbol Club,Cañuelas,,,Si,1040,4500,4680000,14237,1000,14237000,50000000,220353926,289270926,1726911,272399165,19608264,293734340,-4463414
85,Club Deportivo y Mutual Leandro N. Alem,Alem,,,Si,1030,4000,4120000,6542,800,5233600,25000000,144780020,179133620,1051184,152509996,8184301,161745481,17388139
86,Club Lujan,Lujan,,,Si,850,4000,3400000,8232,800,6585600,25000000,143059712,178045312,1053725,161946794,9506591,172507110,5538202
87,Club Atletico Puerto Nuevo,Puerto Nuevo,,,Si,830,3500,2905000,5114,600,3068400,10000000,90314702,106288102,739120,94297265,10614026,105650411,637691
88,Real Pilar Futbol Club,Real Pilar,,,Si,735,4000,2940000,5601,800,4480800,25000000,137151610,169572410,1081495,167172396,8706146,176960037,-7387627
89,Club Ciudad de Bolivar,Ciudad de Bolivar,,,No,700,4500,3150000,19202,1000,19202000,50000000,222508312,294860312,1989193,253517760,22155979,277662932,17197380
90,Club Atletico Independiente (Chivilcoy),Independiente (C),,,No,2000,4500,9000000,21668,1000,21668000,50000000,205168439,285836439,1759805,253684332,25948437,281392574,4443865
91,Club Atletico Sansinena Social y Deportivo,Sansinena,,,No,800,4500,3600000,11134,1000,11134000,50000000,207744178,272478178,1773275,266768158,27753643,296295076,-23816898
92,Club Olimpo (Bahia Blanca),Olimpo,,,No,1100,4500,4950000,10141,1000,10141000,50000000,204249344,269340344,1984665,257856712,22017441,281858818,-12518474
93,Club Villa Mitre (Bahia Blanca),Villa Mitre,,,No,1101,4500,4954500,12113,1000,12113000,50000000,214778830,281846330,1744240,258484423,22805784,283034447,-1188117
